address,name,social,index,initial_balance_usd,total_usd_sold
0x143e43d09b5165b953fde3f187b986ae257fa9d0,Kitsune_0x,https://x.com/Kitsune_0x,183,1300.0,53774.36
MASKED,MASKED,MASKED,184,1300.0,0.0
MASKED,MASKED,MASKED,185,1300.0,36829.83
0x315bd7ca72934502b4a4683d7f6ba9fad1362473,NFTsAreNice,https://x.com/NFTsAreNice,186,1300.0,38345.19
MASKED,MASKED,MASKED,187,1300.0,3213.79
0xae966824f249ee626445f0a1615722d7aa2f3f76,DinoRoars007,https://x.com/DinoRoars007,188,1300.0,644.56
0x07ce5db5f75e58d657926b636b9ad3e3869c91b4,0xscottyb,https://x.com/0xscottyb,189,1300.0,10907.12
0x0150fcb31d8932dca4fada8cc1514a7e1c902e6f,mercfrosty,https://x.com/mercfrosty,190,1300.0,12279.7
MASKED,MASKED,MASKED,191,1300.0,3113.38
0x2e45e5d9ecd99d905817134ec9ba84d9e13d59fc,DOMWAUT,https://x.com/DOMWAUT,192,1300.0,24554.17
0xaf845609ad1b4d4d22e03db5556849350ac7a026,LS30sounds,https://x.com/LS30sounds,193,1300.0,1625.06
MASKED,MASKED,MASKED,194,1300.0,30464.25
0xbe77e495a6c890d651713f004e5e577e68385498,heymaximillian,https://x.com/heymaximillian,195,1300.0,1799.42
0xafd760821b86556781b6b0c491630084b0654383,LeeKunRock,https://x.com/LeeKunRock,196,499.9998621378965,978.47
0x26d2f1121be602871528d2c1d4c1404e803fd6d2,postedgo,https://x.com/postedgo,197,499.9998621378965,39257.71
0x0898875d5de284213c0ad19acd6ce2a19aaa95b6,gigachad_alpha,https://x.com/gigachad_alpha,198,499.9998621378965,19953.26
0x19611d705664b5996db557f9b435fcba3c9153fc,fevilon,https://x.com/fevilon,199,499.9998621378965,894.88
0x48e6b3c5770a6b71e0c3982981765ee6e0fa3682,DogeChefX,https://x.com/DogeChefX,200,499.9998621378965,22628.19
0x3f21adc9223e0ff4598d3ab5a3df3ff8ac73b835,FaidiOff,https://x.com/FaidiOff,201,499.9998621378965,31536.58
0xbaf554b98339fb0bd10e1a5f825c38ad3eea4912,nakisthay,https://x.com/nakisthay,202,499.9998621378965,6052.91
0x4e775a33a9ed7880ca1f81f449a849d8a5935056,frutella786,https://x.com/frutella786,203,499.9998621378965,8746.7
0x0bb8644411ea0c38ae79f6fa15c5e49e46932fe8,devonf,https://x.com/devonf,204,499.9998621378965,28993.87
MASKED,MASKED,MASKED,205,499.9998621378965,3744.9
0x421d8716bff70b02037494990b01c5bdff67b2b1,BravoCosto,https://x.com/BravoCosto,206,499.9998621378965,3155.24
0xff4653a175d6eeb13ba9823ff6b6669170f191fe,kdean,https://x.com/kdean,207,499.9998621378965,45415.76
0xcc303dd91587e18cdf30d03e9523c40a32c836c3,VJweb3,https://x.com/VJweb3,208,499.9998621378965,555.81
0x107a1c67d46fb00abfe360126ff4dafdc82a5d7f,Garfoldd,https://x.com/Garfoldd,209,499.9998621378965,19572.71
0x0b4f85b173fa22f69308ffdd00bc556e987002df,Wizippo,https://x.com/Wizippo,210,499.9998621378965,55665.5
MASKED,MASKED,MASKED,211,499.9998621378965,10035.38
